age_group,gender,symptoms,recommended_drug,drug_category,advisor_note,seek_care_if,source
adult,Male,"dental pain and jaw ache",Ibuprofen,NSAID / pain relief,"May help short-term muscle pain or inflammatory aches. Avoid if you have ulcer disease, kidney disease, or NSAID allergy.","Seek care if pain follows major injury, chest pain, black stools, severe swelling, or persistent vomiting.",seed
adult,Female,"itchy eyes, sneezing, and runny nose",Cetirizine,Antihistamine,"Often used for sneezing, itching, and mild allergy symptoms. It can cause drowsiness in some people.","Seek care if you have wheezing, lip swelling, severe rash, or breathing trouble.",seed
adult,Male,"dust allergy with itching and watery nose",Cetirizine,Antihistamine,"Often used for sneezing, itching, and mild allergy symptoms. It can cause drowsiness in some people.","Seek care if you have wheezing, lip swelling, severe rash, or breathing trouble.",seed
teen,Female,"pollen allergy with sneezing and itchy throat",Cetirizine,Antihistamine,"Often used for sneezing, itching, and mild allergy symptoms. It can cause drowsiness in some people.","Seek care if you have wheezing, lip swelling, severe rash, or breathing trouble.",seed
child,Male,"mild hives with itching and sneezing",Cetirizine,Antihistamine,"Often used for sneezing, itching, and mild allergy symptoms. It can cause drowsiness in some people.","Seek care if you have wheezing, lip swelling, severe rash, or breathing trouble.",seed
adult,Prefer not to say,"seasonal allergy with itchy skin and runny nose",Cetirizine,Antihistamine,"Often used for sneezing, itching, and mild allergy symptoms. It can cause drowsiness in some people.","Seek care if you have wheezing, lip swelling, severe rash, or breathing trouble.",seed
senior,Female,"allergy sneezing with watery eyes",Cetirizine,Antihistamine,"Often used for sneezing, itching, and mild allergy symptoms. It can cause drowsiness in some people.","Seek care if you have wheezing, lip swelling, severe rash, or breathing trouble.",seed
adult,Female,"dry cough at night and throat irritation",Dextromethorphan,Cough suppressant,"Educational match for a dry irritating cough. It should not be used as a replacement for clinical review if the cough persists.","Seek care if cough lasts more than a week, comes with high fever, chest pain, or blood in mucus.",seed
adult,Male,"tickly cough with sore throat and no mucus",Dextromethorphan,Cough suppressant,"Educational match for a dry irritating cough. It should not be used as a replacement for clinical review if the cough persists.","Seek care if cough lasts more than a week, comes with high fever, chest pain, or blood in mucus.",seed
teen,Female,"dry throat and coughing while speaking",Dextromethorphan,Cough suppressant,"Educational match for a dry irritating cough. It should not be used as a replacement for clinical review if the cough persists.","Seek care if cough lasts more than a week, comes with high fever, chest pain, or blood in mucus.",seed
adult,Non-binary,"irritating cough without phlegm after a cold",Dextromethorphan,Cough suppressant,"Educational match for a dry irritating cough. It should not be used as a replacement for clinical review if the cough persists.","Seek care if cough lasts more than a week, comes with high fever, chest pain, or blood in mucus.",seed
senior,Male,"night time cough and throat tickle",Dextromethorphan,Cough suppressant,"Educational match for a dry irritating cough. It should not be used as a replacement for clinical review if the cough persists.","Seek care if cough lasts more than a week, comes with high fever, chest pain, or blood in mucus.",seed
adult,Female,"mild dry cough after viral cold",Dextromethorphan,Cough suppressant,"Educational match for a dry irritating cough. It should not be used as a replacement for clinical review if the cough persists.","Seek care if cough lasts more than a week, comes with high fever, chest pain, or blood in mucus.",seed
adult,Male,"wet cough with mucus and chest congestion",Guaifenesin,Expectorant,"May support mucus clearance with hydration in a chesty cough pattern.","Seek care if you have shortness of breath, chest pain, blood in mucus, or symptoms that keep worsening.",seed
adult,Female,"productive cough after cold with phlegm",Guaifenesin,Expectorant,"May support mucus clearance with hydration in a chesty cough pattern.","Seek care if you have shortness of breath, chest pain, blood in mucus, or symptoms that keep worsening.",seed
teen,Male,"cough with thick mucus and blocked chest",Guaifenesin,Expectorant,"May support mucus clearance with hydration in a chesty cough pattern.","Seek care if you have shortness of breath, chest pain, blood in mucus, or symptoms that keep worsening.",seed
senior,Female,"chesty cough and mucus in throat",Guaifenesin,Expectorant,"May support mucus clearance with hydration in a chesty cough pattern.","Seek care if you have shortness of breath, chest pain, blood in mucus, or symptoms that keep worsening.",seed
adult,Prefer not to say,"lingering wet cough with expectoration",Guaifenesin,Expectorant,"May support mucus clearance with hydration in a chesty cough pattern.","Seek care if you have shortness of breath, chest pain, blood in mucus, or symptoms that keep worsening.",seed
adult,Male,"phlegm cough with heavy chest congestion",Guaifenesin,Expectorant,"May support mucus clearance with hydration in a chesty cough pattern.","Seek care if you have shortness of breath, chest pain, blood in mucus, or symptoms that keep worsening.",seed
adult,Female,"burning acidity after spicy food",Pantoprazole,Acid reducer,"Often used for reflux-like burning or acidity. Persistent symptoms still need evaluation.","Seek care if you have vomiting blood, black stool, weight loss, trouble swallowing, or repeated vomiting.",seed
adult,Male,"heartburn after meals and sour reflux",Pantoprazole,Acid reducer,"Often used for reflux-like burning or acidity. Persistent symptoms still need evaluation.","Seek care if you have vomiting blood, black stool, weight loss, trouble swallowing, or repeated vomiting.",seed
senior,Female,"upper stomach burning and acid reflux at night",Pantoprazole,Acid reducer,"Often used for reflux-like burning or acidity. Persistent symptoms still need evaluation.","Seek care if you have vomiting blood, black stool, weight loss, trouble swallowing, or repeated vomiting.",seed
adult,Non-binary,"indigestion with bloating and burning chest",Pantoprazole,Acid reducer,"Often used for reflux-like burning or acidity. Persistent symptoms still need evaluation.","Seek care if you have vomiting blood, black stool, weight loss, trouble swallowing, or repeated vomiting.",seed
adult,Female,"acidity with nausea after overeating",Pantoprazole,Acid reducer,"Often used for reflux-like burning or acidity. Persistent symptoms still need evaluation.","Seek care if you have vomiting blood, black stool, weight loss, trouble swallowing, or repeated vomiting.",seed
adult,Male,"gas, heartburn, and sour burps",Pantoprazole,Acid reducer,"Often used for reflux-like burning or acidity. Persistent symptoms still need evaluation.","Seek care if you have vomiting blood, black stool, weight loss, trouble swallowing, or repeated vomiting.",seed
adult,Female,"loose motions with weakness and dry mouth",ORS,Rehydration support,"Best supportive choice for mild dehydration from loose stool or vomiting. Keep sipping fluids.","Seek care if there is blood in stool, signs of severe dehydration, persistent vomiting, or very little urine.",seed
adult,Male,"diarrhea with dehydration and dizziness",ORS,Rehydration support,"Best supportive choice for mild dehydration from loose stool or vomiting. Keep sipping fluids.","Seek care if there is blood in stool, signs of severe dehydration, persistent vomiting, or very little urine.",seed
child,Female,"vomiting and loose stools with weakness",ORS,Rehydration support,"Best supportive choice for mild dehydration from loose stool or vomiting. Keep sipping fluids.","Seek care if there is blood in stool, signs of severe dehydration, persistent vomiting, or very little urine.",seed
senior,Male,"heat exhaustion with dry mouth and lightheadedness",ORS,Rehydration support,"Best supportive choice for mild dehydration from loose stool or vomiting. Keep sipping fluids.","Seek care if there is blood in stool, signs of severe dehydration, persistent vomiting, or very little urine.",seed
adult,Prefer not to say,"stomach bug with watery stool and thirst",ORS,Rehydration support,"Best supportive choice for mild dehydration from loose stool or vomiting. Keep sipping fluids.","Seek care if there is blood in stool, signs of severe dehydration, persistent vomiting, or very little urine.",seed
teen,Male,"weakness after diarrhea and poor fluid intake",ORS,Rehydration support,"Best supportive choice for mild dehydration from loose stool or vomiting. Keep sipping fluids.","Seek care if there is blood in stool, signs of severe dehydration, persistent vomiting, or very little urine.",seed
adult,Female,"blocked nose and nasal dryness",Saline Nasal Spray,Supportive nasal care,"A simple supportive option for congestion or dry nasal passages, especially with hydration and steam.","Seek care if sinus pain is severe, fever develops, facial swelling appears, or symptoms last more than 10 days.",seed
adult,Male,"stuffy nose due to cold and dry air",Saline Nasal Spray,Supportive nasal care,"A simple supportive option for congestion or dry nasal passages, especially with hydration and steam.","Seek care if sinus pain is severe, fever develops, facial swelling appears, or symptoms last more than 10 days.",seed
child,Female,"dry congested nose at bedtime",Saline Nasal Spray,Supportive nasal care,"A simple supportive option for congestion or dry nasal passages, especially with hydration and steam.","Seek care if sinus pain is severe, fever develops, facial swelling appears, or symptoms last more than 10 days.",seed
adult,Non-binary,"nasal irritation and blocked nose",Saline Nasal Spray,Supportive nasal care,"A simple supportive option for congestion or dry nasal passages, especially with hydration and steam.","Seek care if sinus pain is severe, fever develops, facial swelling appears, or symptoms last more than 10 days.",seed
senior,Female,"dry nose with congestion and mouth breathing",Saline Nasal Spray,Supportive nasal care,"A simple supportive option for congestion or dry nasal passages, especially with hydration and steam.","Seek care if sinus pain is severe, fever develops, facial swelling appears, or symptoms last more than 10 days.",seed
teen,Male,"runny nose turned stuffy with dry nostrils",Saline Nasal Spray,Supportive nasal care,"A simple supportive option for congestion or dry nasal passages, especially with hydration and steam.","Seek care if sinus pain is severe, fever develops, facial swelling appears, or symptoms last more than 10 days.",seed
